Text,色情,冒犯,政治,犯罪,禁用語,外部連結
國民黨,0.0,0.0,1.0,0.0,0.0,0.0
民進黨,0.0,0.0,1.0,0.0,0.0,0.0
民眾黨,0.0,0.0,1.0,0.0,0.0,0.0
蔡英文,0.0,0.0,1.0,0.0,0.0,0.0
馬英九,0.0,0.0,1.0,0.0,0.0,0.0
賴清德,0.0,0.0,1.0,0.0,0.0,0.0
郭台銘,0.0,0.0,1.0,0.0,0.0,0.0
共產黨,0.0,0.0,1.0,0.0,0.0,0.0
柯文哲,0.0,0.0,1.0,0.0,0.0,0.0
A片,1.0,0.0,0.0,0.0,0.0,0.0
AV,1.0,0.0,0.0,0.0,0.0,0.0
女優,1.0,0.0,0.0,0.0,0.0,0.0
.com,0.0,0.0,0.0,0.0,0.0,1.0
.net,0.0,0.0,0.0,0.0,0.0,1.0
.co,0.0,0.0,0.0,0.0,0.0,1.0
.cc,0.0,0.0,0.0,0.0,0.0,1.0
.io,0.0,0.0,0.0,0.0,0.0,1.0
.vip,0.0,0.0,0.0,0.0,0.0,1.0
.shop,0.0,0.0,0.0,0.0,0.0,1.0
.us,0.0,0.0,0.0,0.0,0.0,1.0
.in,0.0,0.0,0.0,0.0,0.0,1.0
.biz,0.0,0.0,0.0,0.0,0.0,1.0
.tw,0.0,0.0,0.0,0.0,0.0,1.0
.org,0.0,0.0,0.0,0.0,0.0,1.0
.win,0.0,0.0,0.0,0.0,0.0,1.0
.bet,0.0,0.0,0.0,0.0,0.0,1.0
.es,0.0,0.0,0.0,0.0,0.0,1.0
.one,0.0,0.0,0.0,0.0,0.0,1.0
.online,0.0,0.0,0.0,0.0,0.0,1.0
.pro,0.0,0.0,0.0,0.0,0.0,1.0
.info,0.0,0.0,0.0,0.0,0.0,1.0
.press,0.0,0.0,0.0,0.0,0.0,1.0
.video,0.0,0.0,0.0,0.0,0.0,1.0
.foo,0.0,0.0,0.0,0.0,0.0,1.0
.dev,0.0,0.0,0.0,0.0,0.0,1.0
.bio,0.0,0.0,0.0,0.0,0.0,1.0
.ink,0.0,0.0,0.0,0.0,0.0,1.0
.uno,0.0,0.0,0.0,0.0,0.0,1.0
.art,0.0,0.0,0.0,0.0,0.0,1.0
.loans,0.0,0.0,0.0,0.0,0.0,1.0
.studio,0.0,0.0,0.0,0.0,0.0,1.0
.ca,0.0,0.0,0.0,0.0,0.0,1.0
.blue,0.0,0.0,0.0,0.0,0.0,1.0
.me,0.0,0.0,0.0,0.0,0.0,1.0
.cam,0.0,0.0,0.0,0.0,0.0,1.0
.li,0.0,0.0,0.0,0.0,0.0,1.0
.tel,0.0,0.0,0.0,0.0,0.0,1.0
.golf,0.0,0.0,0.0,0.0,0.0,1.0
.food,0.0,0.0,0.0,0.0,0.0,1.0
.rentals,0.0,0.0,0.0,0.0,0.0,1.0
.supply,0.0,0.0,0.0,0.0,0.0,1.0
.gg,0.0,0.0,0.0,0.0,0.0,1.0
.mba,0.0,0.0,0.0,0.0,0.0,1.0
.law,0.0,0.0,0.0,0.0,0.0,1.0
h動畫,1.0,0.0,0.0,0.0,0.0,0.0
h動漫,1.0,0.0,0.0,0.0,0.0,0.0
妓女,1.0,0.0,0.0,0.0,0.0,0.0
包夜,1.0,0.0,0.0,0.0,0.0,0.0
3P,1.0,0.0,0.0,0.0,0.0,0.0
狼友,1.0,0.0,0.0,0.0,0.0,0.0
技師,1.0,0.0,0.0,0.0,0.0,0.0
推油,1.0,0.0,0.0,0.0,0.0,0.0
胸推,1.0,0.0,0.0,0.0,0.0,0.0
毒龍,1.0,0.0,0.0,0.0,0.0,0.0
口爆,1.0,0.0,0.0,0.0,0.0,0.0
樓鳳,1.0,0.0,0.0,0.0,0.0,0.0
足交,1.0,0.0,0.0,0.0,0.0,0.0
口暴,1.0,0.0,0.0,0.0,0.0,0.0
口交,1.0,0.0,0.0,0.0,0.0,0.0
SM,1.0,0.0,0.0,0.0,0.0,0.0
桑拿,1.0,0.0,0.0,0.0,0.0,0.0
吞精,1.0,0.0,0.0,0.0,0.0,0.0
乳房,1.0,0.0,0.0,0.0,0.0,0.0
咪咪,1.0,0.0,0.0,0.0,0.0,0.0
婊子,1.0,0.0,0.0,0.0,0.0,0.0
乳方,1.0,0.0,0.0,0.0,0.0,0.0
操逼,1.0,0.0,0.0,0.0,0.0,0.0
性伴侶,1.0,0.0,0.0,0.0,0.0,0.0
愛液,1.0,0.0,0.0,0.0,0.0,0.0
按摩棒,1.0,0.0,0.0,0.0,0.0,0.0
爆草,1.0,0.0,0.0,0.0,0.0,0.0
包二奶,1.0,0.0,0.0,0.0,0.0,0.0
暴幹,1.0,0.0,0.0,0.0,0.0,0.0
暴奸,1.0,0.0,0.0,0.0,0.0,0.0
暴乳,1.0,0.0,0.0,0.0,0.0,0.0
爆乳,1.0,0.0,0.0,0.0,0.0,0.0
暴淫,1.0,0.0,0.0,0.0,0.0,0.0
被操,1.0,0.0,0.0,0.0,0.0,0.0
被插,1.0,0.0,0.0,0.0,0.0,0.0
逼奸,1.0,0.0,0.0,0.0,0.0,0.0
倉井空,1.0,0.0,0.0,0.0,0.0,0.0
插暴,1.0,0.0,0.0,0.0,0.0,0.0
操逼,1.0,0.0,0.0,0.0,0.0,0.0
操黑,1.0,0.0,0.0,0.0,0.0,0.0
操爛,1.0,0.0,0.0,0.0,0.0,0.0
肏你,1.0,0.0,0.0,0.0,0.0,0.0
肏死,1.0,0.0,0.0,0.0,0.0,0.0
操死,1.0,0.0,0.0,0.0,0.0,0.0
操我,1.0,0.0,0.0,0.0,0.0,0.0
操你,1.0,0.0,0.0,0.0,0.0,0.0
草你媽,1.0,0.0,0.0,0.0,0.0,0.0
廁奴,1.0,0.0,0.0,0.0,0.0,0.0
插比,1.0,0.0,0.0,0.0,0.0,0.0
插b,1.0,0.0,0.0,0.0,0.0,0.0
插逼,1.0,0.0,0.0,0.0,0.0,0.0
插你,1.0,0.0,0.0,0.0,0.0,0.0
插我,1.0,0.0,0.0,0.0,0.0,0.0
插陰,1.0,0.0,0.0,0.0,0.0,0.0
潮吹,1.0,0.0,0.0,0.0,0.0,0.0
潮噴,1.0,0.0,0.0,0.0,0.0,0.0
成人電影,1.0,0.0,0.0,0.0,0.0,0.0
成人論壇,1.0,0.0,0.0,0.0,0.0,0.0
成人色情,1.0,0.0,0.0,0.0,0.0,0.0
成人網站,1.0,0.0,0.0,0.0,0.0,0.0
成人文學,1.0,0.0,0.0,0.0,0.0,0.0
成人小說,1.0,0.0,0.0,0.0,0.0,0.0
豔情小說,1.0,0.0,0.0,0.0,0.0,0.0
成人遊戲,1.0,0.0,0.0,0.0,0.0,0.0
吃精,1.0,0.0,0.0,0.0,0.0,0.0
抽插,1.0,0.0,0.0,0.0,0.0,0.0
春藥,1.0,0.0,0.0,0.0,0.0,0.0
大波,1.0,0.0,0.0,0.0,0.0,0.0
大力抽送,1.0,0.0,0.0,0.0,0.0,0.0
大乳,1.0,0.0,0.0,0.0,0.0,0.0
蕩婦,1.0,0.0,0.0,0.0,0.0,0.0
蕩女,1.0,0.0,0.0,0.0,0.0,0.0
盜撮,1.0,0.0,0.0,0.0,0.0,0.0
發浪,1.0,0.0,0.0,0.0,0.0,0.0
放尿,1.0,0.0,0.0,0.0,0.0,0.0
肥逼,1.0,0.0,0.0,0.0,0.0,0.0
粉穴,1.0,0.0,0.0,0.0,0.0,0.0
風月大陸,1.0,0.0,0.0,0.0,0.0,0.0
幹死你,1.0,0.0,0.0,0.0,0.0,0.0
幹穴,1.0,0.0,0.0,0.0,0.0,0.0
肛交,1.0,0.0,0.0,0.0,0.0,0.0
肛門,1.0,0.0,0.0,0.0,0.0,0.0
龜頭,1.0,0.0,0.0,0.0,0.0,0.0
裹本,1.0,0.0,0.0,0.0,0.0,0.0
國產av,1.0,0.0,0.0,0.0,0.0,0.0
好嫩,1.0,0.0,0.0,0.0,0.0,0.0
豪乳,1.0,0.0,0.0,0.0,0.0,0.0
黑逼,1.0,0.0,0.0,0.0,0.0,0.0
後庭,1.0,0.0,0.0,0.0,0.0,0.0
後穴,1.0,0.0,0.0,0.0,0.0,0.0
虎騎,1.0,0.0,0.0,0.0,0.0,0.0
換妻俱樂部,1.0,0.0,0.0,0.0,0.0,0.0
黃片,1.0,0.0,0.0,0.0,0.0,0.0
幾吧,1.0,0.0,0.0,0.0,0.0,0.0
雞吧,1.0,0.0,0.0,0.0,0.0,0.0
雞巴,1.0,0.0,0.0,0.0,0.0,0.0
雞奸,1.0,0.0,0.0,0.0,0.0,0.0
妓女,1.0,0.0,0.0,0.0,0.0,0.0
姦情,1.0,0.0,0.0,0.0,0.0,0.0
叫床,1.0,0.0,0.0,0.0,0.0,0.0
腳交,1.0,0.0,0.0,0.0,0.0,0.0
精液,1.0,0.0,0.0,0.0,0.0,0.0
巨屌,1.0,0.0,0.0,0.0,0.0,0.0
菊花洞,1.0,0.0,0.0,0.0,0.0,0.0
菊門,1.0,0.0,0.0,0.0,0.0,0.0
巨奶,1.0,0.0,0.0,0.0,0.0,0.0
巨乳,1.0,0.0,0.0,0.0,0.0,0.0
菊穴,1.0,0.0,0.0,0.0,0.0,0.0
開苞,1.0,0.0,0.0,0.0,0.0,0.0
口爆,1.0,0.0,0.0,0.0,0.0,0.0
口活,1.0,0.0,0.0,0.0,0.0,0.0
口交,1.0,0.0,0.0,0.0,0.0,0.0
口射,1.0,0.0,0.0,0.0,0.0,0.0
口淫,1.0,0.0,0.0,0.0,0.0,0.0
褲襪,1.0,0.0,0.0,0.0,0.0,0.0
狂操,1.0,0.0,0.0,0.0,0.0,0.0
狂插,1.0,0.0,0.0,0.0,0.0,0.0
浪逼,1.0,0.0,0.0,0.0,0.0,0.0
浪婦,1.0,0.0,0.0,0.0,0.0,0.0
浪叫,1.0,0.0,0.0,0.0,0.0,0.0
浪女,1.0,0.0,0.0,0.0,0.0,0.0
狼友,1.0,0.0,0.0,0.0,0.0,0.0
聊性,1.0,0.0,0.0,0.0,0.0,0.0
淩辱,1.0,0.0,0.0,0.0,0.0,0.0
漏乳,1.0,0.0,0.0,0.0,0.0,0.0
露b,1.0,0.0,0.0,0.0,0.0,0.0
亂交,1.0,0.0,0.0,0.0,0.0,0.0
亂倫,1.0,0.0,0.0,0.0,0.0,0.0
輪暴,1.0,0.0,0.0,0.0,0.0,0.0
輪操,1.0,0.0,0.0,0.0,0.0,0.0
輪奸,1.0,0.0,0.0,0.0,0.0,0.0
裸陪,1.0,0.0,0.0,0.0,0.0,0.0
買春,1.0,0.0,0.0,0.0,0.0,0.0
美逼,1.0,0.0,0.0,0.0,0.0,0.0
美少婦,1.0,0.0,0.0,0.0,0.0,0.0
美乳,1.0,0.0,0.0,0.0,0.0,0.0
美穴,1.0,0.0,0.0,0.0,0.0,0.0
美幼,1.0,0.0,0.0,0.0,0.0,0.0
秘唇,1.0,0.0,0.0,0.0,0.0,0.0
迷奸,1.0,0.0,0.0,0.0,0.0,0.0
密穴,1.0,0.0,0.0,0.0,0.0,0.0
蜜穴,1.0,0.0,0.0,0.0,0.0,0.0
蜜液,1.0,0.0,0.0,0.0,0.0,0.0
摸奶,1.0,0.0,0.0,0.0,0.0,0.0
摸胸,1.0,0.0,0.0,0.0,0.0,0.0
母奸,1.0,0.0,0.0,0.0,0.0,0.0
奈美,1.0,0.0,0.0,0.0,0.0,0.0
奶子,1.0,0.0,0.0,0.0,0.0,0.0
男奴,1.0,0.0,0.0,0.0,0.0,0.0
內射,1.0,0.0,0.0,0.0,0.0,0.0
嫩逼,1.0,0.0,0.0,0.0,0.0,0.0
嫩女,1.0,0.0,0.0,0.0,0.0,0.0
嫩穴,1.0,0.0,0.0,0.0,0.0,0.0
捏弄,1.0,0.0,0.0,0.0,0.0,0.0
女優,1.0,0.0,0.0,0.0,0.0,0.0
噴精,1.0,0.0,0.0,0.0,0.0,0.0
屁眼,1.0,0.0,0.0,0.0,0.0,0.0
強jian,1.0,0.0,0.0,0.0,0.0,0.0
強暴,1.0,0.0,0.0,0.0,0.0,0.0
強姦處女,1.0,0.0,0.0,0.0,0.0,0.0
情趣用品,1.0,0.0,0.0,0.0,0.0,0.0
情色,1.0,0.0,0.0,0.0,0.0,0.0
拳交,1.0,0.0,0.0,0.0,0.0,0.0
群交,1.0,0.0,0.0,0.0,0.0,0.0
人妻,1.0,0.0,0.0,0.0,0.0,0.0
人獸,1.0,0.0,0.0,0.0,0.0,0.0
日逼,1.0,0.0,0.0,0.0,0.0,0.0
日爛,1.0,0.0,0.0,0.0,0.0,0.0
肉棒,1.0,0.0,0.0,0.0,0.0,0.0
肉逼,1.0,0.0,0.0,0.0,0.0,0.0
肉唇,1.0,0.0,0.0,0.0,0.0,0.0
